,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
losses_train,2.3061209,2.1051884,2.0660334,1.6994473,1.6623019,1.4067295,1.3455716,1.1916775,1.1079668,1.0126741,1.0051552,0.9696232,1.0307128,0.923541,0.9865271,0.8550553,0.9059752,0.83165455,0.83610696,0.7691202,0.77919483,0.7237107,0.74199635,0.6803506,0.73950344,0.66802156,0.7009284,0.632178,0.6670658,0.60569596,0.6445845,0.600501,0.59840244,0.6226226,0.5618042,0.5991286,0.54865324,0.62492394,0.53514,0.59418637,0.5389037,0.54990804,0.5175782,0.51958877,0.49261048,0.5070192,0.47790915,0.48400077,0.45814458,0.47881484,0.45184228,0.45483375,0.43332973,0.4447105,0.42184457,0.4300053,0.42009717,0.41928172,0.41481185,0.40791222,0.41385087,0.3916538,0.40975532,0.3911181,0.4169012,0.38873273,0.40595838,0.37882644,0.38396633,0.37348178,0.37688023,0.36288822,0.370668,0.35303178,0.36646444,0.35462233,0.36256027,0.3454407,0.35896385,0.3458485,0.34301978,0.34953466,0.33232725,0.33689964,0.32121035,0.33490467,0.31343254,0.3264882,0.30490595,0.3199613,0.2952743,0.3188655,0.32974294,0.32843205,0.31113544,0.3328677,0.29834202,0.32229522,0.287716,0.32006246
accuracies_train,0.0919572,0.26391238,0.3389879,0.5240844,0.5042044,0.61030304,0.6321852,0.6589179,0.6880368,0.7055125,0.66801083,0.66406643,0.6687869,0.71431744,0.689815,0.72850883,0.71341336,0.72829485,0.73646563,0.74323833,0.75466144,0.7650705,0.76622665,0.78426445,0.75464946,0.7934973,0.7708531,0.8068927,0.7872507,0.8238804,0.79805183,0.8110951,0.8012681,0.8011061,0.80525255,0.8022822,0.80745476,0.78029203,0.8130353,0.7920872,0.81443745,0.80924094,0.8248425,0.8206761,0.83264124,0.82647467,0.8440124,0.8315052,0.8520052,0.8339094,0.8504211,0.8447465,0.8578118,0.849543,0.8621962,0.85734975,0.8640224,0.8619642,0.86922693,0.8661506,0.8650725,0.87074906,0.86948496,0.87448746,0.8690889,0.8710651,0.8743174,0.87626165,0.8849165,0.87662965,0.8881288,0.8818342,0.8909331,0.88623065,0.8921492,0.8866147,0.89255726,0.88544255,0.89279526,0.88581055,0.9009821,0.88760877,0.9021622,0.89564157,0.90355635,0.89383537,0.9051485,0.8944495,0.9091569,0.89524555,0.91052705,0.8960696,0.8918792,0.89031905,0.9038564,0.89034706,0.9068547,0.8951315,0.91084707,0.8949335
accuracies_test,0.2769,0.33,0.5315,0.5017,0.6121,0.626,0.65,0.6935,0.7006,0.6744,0.6741,0.6696,0.7075,0.7033,0.7172,0.7263,0.7182,0.7374,0.7396,0.752,0.763,0.7615,0.7803,0.7531,0.7848,0.7724,0.7978,0.7833,0.8082,0.7923,0.8002,0.8046,0.7856,0.8038,0.7848,0.8038,0.7684,0.8055,0.7807,0.8041,0.8011,0.8106,0.8107,0.8209,0.8115,0.8256,0.8204,0.8309,0.8222,0.8317,0.8323,0.8342,0.8405,0.8392,0.8419,0.8394,0.8433,0.8425,0.8495,0.8419,0.8535,0.8399,0.8542,0.8412,0.8517,0.8491,0.8536,0.8616,0.8547,0.8658,0.8571,0.8679,0.8601,0.8694,0.8582,0.8692,0.8613,0.8652,0.8636,0.8674,0.8659,0.8701,0.8712,0.8715,0.8749,0.8755,0.8756,0.8778,0.8761,0.8789,0.8739,0.861,0.8723,0.8704,0.8697,0.8744,0.8718,0.8775,0.871,0.8793
