,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
losses_train,2.325854,2.1342235,1.9217452,1.7488878,1.5911329,1.4747854,1.4001511,1.3259963,1.216058,1.0765378,0.9628535,0.8812629,0.82029825,0.7725205,0.72543126,0.69463223,0.66015923,0.64144033,0.6165246,0.60305864,0.5816518,0.57462215,0.5582041,0.5522908,0.53345346,0.53128713,0.51173633,0.50581056,0.48801255,0.4802476,0.4650073,0.45769235,0.44276333,0.43566504,0.4248088,0.41803047,0.40621403,0.4036247,0.391749,0.388789,0.38252062,0.37470433,0.36953983,0.3662848,0.35905674,0.3556255,0.3506058,0.34756133,0.34464636,0.33948025,0.3367897,0.3321242,0.32702252,0.32745633,0.32408988,0.31846136,0.31928644,0.31362268,0.31105447,0.30955467,0.3058626,0.30291632,0.30016094,0.29520473,0.29540238,0.29331166,0.29059106,0.2873105,0.28659734,0.28529194,0.27956283,0.28164792,0.2762924,0.2753852,0.27454185,0.27337277,0.26866695,0.26858464,0.26519075,0.26696992,0.26217616,0.2619452,0.2603597,0.25624755,0.2567262,0.25352675,0.25256383,0.251476,0.25069907,0.24736907,0.24762328,0.24139702,0.2436456,0.24171919,0.23903129,0.23971294,0.23748484,0.23726499,0.23613821,0.23447862
accuracies_train,0.10521852,0.43553555,0.47858185,0.5481008,0.6673007,0.6019282,0.6871047,0.60078007,0.75879186,0.7071507,0.8274527,0.769973,0.8477868,0.8039564,0.85937995,0.8249565,0.8629803,0.8393859,0.86258024,0.83739376,0.85737973,0.83519554,0.8525913,0.83338934,0.85539156,0.84140617,0.8621842,0.85259926,0.86879486,0.8671707,0.87698567,0.880392,0.8851925,0.8877948,0.89238125,0.8907931,0.89638966,0.8944134,0.899982,0.9012221,0.9039904,0.9030283,0.90639865,0.90642667,0.9078128,0.9082328,0.910003,0.90942496,0.91081905,0.91141313,0.91261727,0.91281927,0.91361135,0.91442347,0.91440743,0.9152115,0.9150015,0.91641164,0.9162016,0.9168117,0.91719174,0.91860586,0.9187999,0.91939795,0.91979796,0.9209901,0.9209981,0.9215922,0.9229983,0.9231923,0.9233903,0.9241904,0.9247845,0.9259926,0.9269907,0.9279928,0.92719275,0.9288049,0.92920095,0.930203,0.92960095,0.930005,0.9312051,0.9310111,0.9308051,0.93140316,0.93180317,0.9320012,0.9329993,0.9339974,0.93439347,0.9341954,0.9347935,0.9357956,0.9363896,0.9359936,0.9371937,0.9365917,0.93818784,0.9371937
accuracies_test,0.434,0.4795,0.5457,0.671,0.5938,0.6842,0.5954,0.7551,0.6975,0.827,0.7741,0.853,0.8138,0.8608,0.8319,0.8624,0.8383,0.8623,0.8378,0.8517,0.8343,0.8447,0.8316,0.8476,0.8414,0.8525,0.8526,0.8598,0.8655,0.8706,0.8782,0.8787,0.8886,0.8874,0.894,0.8914,0.8973,0.8956,0.8989,0.8981,0.9013,0.9006,0.9036,0.9023,0.9049,0.9045,0.9057,0.9056,0.9074,0.9063,0.9076,0.9079,0.9081,0.9085,0.9085,0.909,0.9091,0.9091,0.9095,0.9099,0.91,0.9103,0.9103,0.9108,0.9109,0.9114,0.912,0.912,0.9123,0.9128,0.9127,0.913,0.9132,0.9133,0.9131,0.9135,0.9134,0.9136,0.9144,0.9134,0.9141,0.9135,0.9144,0.9144,0.915,0.9149,0.9159,0.9156,0.9164,0.915,0.9169,0.9159,0.9165,0.9168,0.9173,0.9164,0.9176,0.9174,0.9178,0.9174
