,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
losses_train,2.389191,2.3234787,1.9073431,1.9203151,1.5300434,1.5224981,1.3012656,1.2904716,1.078425,1.137194,0.9503813,1.0772173,0.91207355,1.0628086,0.86876744,0.94052505,0.8248572,0.8444248,0.7836712,0.7592847,0.7220115,0.7073549,0.7029816,0.73891467,0.6659734,0.7000746,0.6271019,0.6604981,0.6309642,0.691374,0.6081615,0.632774,0.5839038,0.61400795,0.56596893,0.5796906,0.5680941,0.5532823,0.5510852,0.5349828,0.53410214,0.5273794,0.50897723,0.5045162,0.47342306,0.49265456,0.46431616,0.47786045,0.46936888,0.47020343,0.45366788,0.45198593,0.43755418,0.43337214,0.4220796,0.42796415,0.41834024,0.4125959,0.39870262,0.40171874,0.38502708,0.38624382,0.3805694,0.37471735,0.36534336,0.36534786,0.35570282,0.35393542,0.35028458,0.35447502,0.34491357,0.35240427,0.38230455,0.36239305,0.39699078,0.36880642,0.38724667,0.35896772,0.37918222,0.34881702,0.36639795,0.34049106,0.34493947,0.33368114,0.3278178,0.3229339,0.3264819,0.31956473,0.32159173,0.31115365,0.3188736,0.2985512,0.308431,0.2879251,0.29815888,0.27761564,0.2940824,0.27065098,0.2887057,0.2681349
accuracies_train,0.09617162,0.11306131,0.36554056,0.34293228,0.5738194,0.5382478,0.65017503,0.680302,0.7027463,0.6834983,0.7519792,0.669779,0.7866567,0.66027606,0.77248126,0.6878028,0.7721012,0.7152155,0.77610964,0.7518132,0.7889429,0.7650105,0.78571856,0.76265424,0.78447044,0.7810561,0.80703473,0.79584557,0.80021805,0.779808,0.7958256,0.80427444,0.80884886,0.80767274,0.8071767,0.8156456,0.79719174,0.8192859,0.8048405,0.8239004,0.8140654,0.8307091,0.82328635,0.83632565,0.83850384,0.84152216,0.84326833,0.8453245,0.8448605,0.8495029,0.85386336,0.85649765,0.859864,0.86071604,0.86287826,0.8622722,0.8688869,0.86948895,0.8762896,0.8720952,0.88068205,0.87830186,0.8849085,0.88110614,0.88750273,0.88410044,0.8921012,0.8878788,0.8923032,0.8873127,0.8938834,0.88752276,0.8838984,0.8792719,0.87748176,0.8788799,0.8818702,0.8810981,0.88547856,0.88352233,0.88949096,0.88551855,0.8952655,0.8889249,0.8980618,0.89134514,0.90269226,0.8913251,0.9046885,0.89732975,0.9054726,0.9009381,0.9072787,0.91051906,0.9118812,0.91449946,0.9106651,0.9170857,0.91447943,0.91565156
accuracies_test,0.1111,0.3617,0.3484,0.581,0.5552,0.6549,0.6929,0.7179,0.6971,0.7568,0.6792,0.7824,0.6681,0.771,0.6871,0.7665,0.7149,0.7692,0.7482,0.7793,0.7671,0.7719,0.7691,0.7734,0.7907,0.794,0.8032,0.7962,0.7735,0.7886,0.8,0.8014,0.7948,0.7976,0.8033,0.7893,0.8052,0.7998,0.8096,0.8055,0.8175,0.8152,0.8247,0.8323,0.831,0.8359,0.8372,0.8324,0.8404,0.836,0.8458,0.8439,0.8498,0.8452,0.8523,0.8475,0.8575,0.8532,0.8584,0.8579,0.8626,0.8612,0.8648,0.8644,0.8664,0.8655,0.8703,0.8667,0.8702,0.8692,0.8683,0.8628,0.8539,0.8647,0.8468,0.8659,0.8529,0.8664,0.856,0.8706,0.8609,0.8737,0.8611,0.8773,0.8645,0.8804,0.8656,0.8801,0.8696,0.8824,0.8714,0.8828,0.8781,0.8852,0.8821,0.8832,0.8852,0.8872,0.885,0.8854
