,0
T,0.15004869971356688
E,0.1937591067175903
dataamount,1018440.0
a,8.0
gamma,0.0
T_calculate_max,0.0366415182916043
T_calculate_min,0.02043253151050882
T_transmit_max,0.017254742982181548
T_transmit_min,0.005667367198622035
E_calculate_max,0.029051679349624153
E_calculate_min,0.009033762629559626
E_transmit_max,0.0017254742982181549
E_transmit_min,0.0005667367198622036
