,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
losses_train,2.3283963,2.1458104,1.967157,1.7947413,1.6270993,1.4935805,1.3766898,1.3262817,1.1749592,1.1006044,0.9901507,0.92239827,0.86150867,0.83218306,0.7959317,0.78508115,0.7423412,0.7275792,0.685703,0.66649616,0.63080055,0.6125548,0.5878973,0.57133335,0.55228543,0.53704304,0.5241924,0.510141,0.49453834,0.48457342,0.47070855,0.46005756,0.45202902,0.44321123,0.4381396,0.43277788,0.42632243,0.42274913,0.4110418,0.411775,0.40231737,0.39756143,0.38849378,0.38309008,0.36918533,0.36519176,0.35765675,0.35064322,0.346232,0.33884043,0.33748946,0.33076194,0.32705313,0.32232243,0.32055363,0.31824476,0.312727,0.3099306,0.30733594,0.30441356,0.30236316,0.29699188,0.29372668,0.29252172,0.2901963,0.2877365,0.286845,0.28321567,0.28334394,0.2788224,0.27516037,0.27416098,0.27370512,0.2703747,0.27040318,0.2675653,0.26378143,0.2632662,0.26058275,0.25769952,0.255793,0.25475758,0.25117606,0.25218922,0.24985968,0.24870642,0.24674866,0.24524578,0.24135071,0.24180523,0.23966266,0.23935458,0.23825154,0.2340045,0.23555186,0.23388045,0.23199515,0.22840321,0.2282328,0.22379342
accuracies_train,0.081628166,0.3480448,0.449997,0.5440444,0.6067527,0.7157016,0.640506,0.70633864,0.6809101,0.7579558,0.750387,0.7772017,0.7729513,0.76244426,0.7741354,0.7544674,0.78277826,0.7742874,0.8123452,0.8030623,0.8387639,0.8254045,0.8539374,0.84280026,0.8653485,0.8579698,0.8713731,0.8659786,0.87737375,0.87316734,0.87938994,0.8809941,0.88183016,0.8857946,0.8814501,0.8869907,0.8820602,0.88961697,0.8828563,0.8916132,0.88666266,0.89541155,0.8932573,0.90021205,0.89765376,0.90540856,0.9022482,0.90962696,0.9080348,0.9130133,0.9110411,0.9140234,0.9128393,0.9152155,0.9154335,0.9180158,0.9184278,0.919822,0.91944194,0.92021805,0.9206341,0.9212321,0.9218342,0.92242426,0.9230303,0.92341834,0.92423445,0.9250265,0.9258266,0.9260246,0.9266267,0.92742676,0.92743474,0.9284288,0.92762876,0.9292289,0.9292329,0.930437,0.9312291,0.93143517,0.9318352,0.9322272,0.9320252,0.9332333,0.9330273,0.9334313,0.9336334,0.9342314,0.9342354,0.93443346,0.9342354,0.93523353,0.9360376,0.9360336,0.9366357,0.9366357,0.9378398,0.9382318,0.9384338,0.9392339
accuracies_test,0.3463,0.4692,0.5445,0.6389,0.7208,0.6642,0.7105,0.6981,0.7599,0.7591,0.7774,0.7798,0.7631,0.7806,0.7519,0.7913,0.7703,0.8168,0.7985,0.8388,0.8259,0.8555,0.8439,0.8635,0.8573,0.8735,0.8659,0.8797,0.874,0.8843,0.8802,0.8878,0.8805,0.8868,0.8807,0.8842,0.8829,0.883,0.8828,0.885,0.8867,0.8899,0.8907,0.8945,0.8955,0.899,0.9002,0.9025,0.9027,0.9036,0.9038,0.9045,0.9056,0.9051,0.9055,0.9069,0.9065,0.907,0.9071,0.9076,0.9076,0.908,0.9092,0.9086,0.9095,0.9097,0.9097,0.9099,0.9107,0.9103,0.911,0.9105,0.9107,0.9114,0.9115,0.9107,0.9115,0.9113,0.912,0.9117,0.9122,0.9123,0.9128,0.9125,0.9128,0.9133,0.9131,0.9134,0.9141,0.914,0.9147,0.9145,0.915,0.9151,0.9151,0.9154,0.9155,0.9159,0.9155,0.9162
