,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
losses_train,2.412789,2.7683518,2.1689126,2.3122494,2.0241601,1.8858024,1.7611108,1.5957568,1.5085435,1.4393106,1.2334162,1.2476668,1.2569637,1.0426587,0.9923715,1.0393875,0.93278444,0.88647413,1.0353531,0.9747692,0.80444264,0.7356087,0.7569426,0.80730665,0.82765573,0.7899666,0.7421627,0.6238483,0.6052886,0.6081004,0.6297257,0.46168283,0.5466014,0.5270871,0.49745104,0.4766458,0.5833676,0.47231215,0.49306247,0.5734139,0.6544731,0.49817845,0.38246182,0.43063092,0.42525074,0.3592487,0.43061894,0.3793565,0.33040112,0.42714795,0.46730575,0.52473116,0.42359212,0.37541655,0.45402297,0.4830387,0.48959354,0.47619948,0.4849761,0.51624674,0.35583434,0.37531164,0.3958435,0.40736365,0.46838385,0.32027447,0.4972963,0.4277948,0.46225047,0.37204793,0.28340757,0.26856416,0.34237,0.4821348,0.32223296,0.33544004,0.37728405,0.29597872,0.2447017,0.28641754,0.2911921,0.3952918,0.22932185,0.37126043,0.34746096,0.2715162,0.28119686,0.38069725,0.26523358,0.20814326,0.32205337,0.24897337,0.2408583,0.32305872,0.30748153,0.45345694,0.26238966,0.2299148,0.30762437,0.30727306
accuracies_train,0.1410141,0.14512852,0.20490249,0.23049104,0.31290528,0.32426244,0.26948494,0.3690189,0.39655766,0.37057507,0.39950195,0.36053404,0.34826282,0.50850683,0.47311732,0.5018542,0.47432142,0.5335054,0.5223202,0.5467567,0.6158036,0.63130915,0.61846787,0.51860386,0.5911411,0.56847686,0.6373077,0.6329233,0.66053605,0.63651365,0.629895,0.7047865,0.71637565,0.6988199,0.6860946,0.7082368,0.730059,0.6747135,0.67076105,0.66955495,0.6852365,0.6762396,0.74005,0.7562196,0.74053407,0.7756936,0.79139113,0.7640004,0.7872607,0.74238026,0.73681366,0.70665866,0.7406841,0.76537055,0.7579338,0.7672007,0.7349955,0.7236864,0.7127493,0.7452225,0.79984,0.7622702,0.7548775,0.7613961,0.7523112,0.7841704,0.6929233,0.73919594,0.75032705,0.77939194,0.7891789,0.81457347,0.7669627,0.73064107,0.80349636,0.7871487,0.78053206,0.79967594,0.8233063,0.82258624,0.82071406,0.79432744,0.829843,0.7967897,0.7788399,0.8241524,0.8148715,0.7939594,0.80351233,0.84666467,0.8266787,0.830019,0.8131293,0.82355034,0.8169957,0.76705873,0.8507191,0.8481328,0.849875,0.8159036
accuracies_test,0.101,0.1611,0.3466,0.4841,0.5053,0.491,0.4973,0.5577,0.5882,0.6825,0.6833,0.6409,0.7371,0.781,0.6989,0.7583,0.7293,0.711,0.6877,0.8024,0.7764,0.8189,0.7705,0.7239,0.734,0.7451,0.84,0.8371,0.8204,0.8004,0.8505,0.8298,0.8512,0.8551,0.8153,0.8378,0.847,0.8678,0.8439,0.8211,0.8565,0.8721,0.8657,0.8905,0.8663,0.8864,0.8847,0.8776,0.8893,0.8617,0.881,0.8812,0.875,0.8724,0.8791,0.8632,0.8649,0.8468,0.8656,0.8955,0.8973,0.887,0.8884,0.8519,0.8845,0.8695,0.8705,0.8917,0.8924,0.8903,0.8849,0.8854,0.8941,0.8777,0.8692,0.8876,0.8834,0.893,0.8918,0.8948,0.8949,0.8973,0.9003,0.8951,0.9021,0.9029,0.906,0.8983,0.9043,0.8939,0.8821,0.8923,0.893,0.9037,0.8982,0.8974,0.9026,0.903,0.9016,0.8863
