,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
losses_train,2.3649175,2.1973364,1.9926853,1.8341923,1.6658292,1.5254924,1.3908819,1.309538,1.2238808,1.1821265,1.0641966,1.0051078,0.9162579,0.89211166,0.8217025,0.80669934,0.7445939,0.73202205,0.6820447,0.6721912,0.6425258,0.6307366,0.60242456,0.59358686,0.5741335,0.55963093,0.5453553,0.5363698,0.522483,0.5109679,0.49625438,0.48611474,0.4702278,0.46265388,0.45126954,0.44954655,0.43842575,0.42828012,0.41604388,0.41742396,0.40716916,0.4041158,0.39035597,0.39197332,0.37990287,0.37819588,0.36835504,0.3656785,0.35983193,0.35454357,0.34881943,0.34718102,0.34187096,0.33990818,0.33484074,0.33585942,0.32986638,0.32904807,0.32507712,0.3241261,0.32098207,0.32015443,0.31399208,0.3138008,0.31035024,0.31154728,0.30865416,0.30347222,0.30196294,0.29957762,0.2981184,0.29810995,0.2960738,0.29322982,0.29290718,0.29137623,0.29008743,0.28741327,0.28535098,0.28582636,0.28375474,0.28422138,0.2802534,0.2796429,0.2775932,0.2745665,0.2727633,0.27425778,0.27482492,0.27257535,0.27095738,0.26976755,0.2669947,0.26548544,0.26712987,0.26606962,0.26560062,0.26584288,0.26185143,0.2626501
accuracies_train,0.058765877,0.25840583,0.36866087,0.6817502,0.5667087,0.7613701,0.629955,0.7421602,0.62059206,0.7158176,0.6807561,0.75642765,0.7477488,0.7690069,0.7709191,0.7792179,0.7879548,0.79226524,0.7947755,0.80865484,0.79837185,0.81743973,0.8115572,0.8292269,0.83258927,0.8388279,0.850013,0.85224324,0.85940796,0.8650165,0.8708151,0.86784077,0.87862587,0.8768557,0.88242024,0.879644,0.88422644,0.8842424,0.8894429,0.88766074,0.8928413,0.89245725,0.89722973,0.8948495,0.90065205,0.89863986,0.9052425,0.90143216,0.90624464,0.90242624,0.90824884,0.9060386,0.9110371,0.90662867,0.91242325,0.9088349,0.9130253,0.9108311,0.91443545,0.9114211,0.9158216,0.9136314,0.9164277,0.91522354,0.9170257,0.9158296,0.9178298,0.9174457,0.91923994,0.9186339,0.92025,0.9210541,0.92143816,0.9226463,0.9228523,0.92365235,0.92344636,0.9240484,0.9242504,0.9246505,0.9244524,0.92544657,0.9256446,0.92645264,0.9270467,0.9280448,0.9280448,0.92884886,0.9290509,0.92944694,0.930239,0.930037,0.9306431,0.930437,0.9310471,0.93143916,0.9320372,0.93184316,0.9320372,0.9328413
accuracies_test,0.2519,0.3783,0.6864,0.58,0.7673,0.6449,0.7397,0.6321,0.7143,0.6938,0.755,0.7528,0.7677,0.7763,0.7777,0.7905,0.792,0.7973,0.8046,0.8022,0.8149,0.8189,0.8286,0.8375,0.8402,0.8536,0.8548,0.8613,0.8653,0.8703,0.872,0.8774,0.8789,0.883,0.8802,0.8824,0.8832,0.8853,0.8864,0.8873,0.8895,0.8921,0.8929,0.8949,0.8954,0.8981,0.8978,0.9,0.8994,0.9022,0.9009,0.903,0.9012,0.9036,0.9019,0.9035,0.9023,0.9049,0.9032,0.9049,0.903,0.9048,0.9037,0.9049,0.904,0.9051,0.9048,0.9057,0.905,0.9054,0.9058,0.9061,0.9059,0.907,0.9066,0.9068,0.9068,0.9071,0.9074,0.9077,0.9075,0.9074,0.9077,0.9077,0.9084,0.908,0.9086,0.9085,0.9087,0.9086,0.9087,0.9087,0.9087,0.9089,0.9092,0.9094,0.9091,0.9088,0.9092,0.9087
