,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
losses_train,2.3321507,2.145706,2.0117686,1.8263614,1.7144678,1.5112,1.3876071,1.2678475,1.2001034,1.1215339,1.0796008,0.96840817,0.9168047,0.8412522,0.8222819,0.7558546,0.7346935,0.69655013,0.67073065,0.6396137,0.61163604,0.5858996,0.5740482,0.5877329,0.56932646,0.59096336,0.5519985,0.54734915,0.5165555,0.49474385,0.46211287,0.45445526,0.43138286,0.42094418,0.4001788,0.3889128,0.3786899,0.36696485,0.3515719,0.34508234,0.33267468,0.32657328,0.31978595,0.30892146,0.30704245,0.29074457,0.28774586,0.28709793,0.2794309,0.27637464,0.26874018,0.26475766,0.25411195,0.25077605,0.24792686,0.25105745,0.24489178,0.24017462,0.23288515,0.23244292,0.22755675,0.22578706,0.22422929,0.21771388,0.21679656,0.20809096,0.20711496,0.20646906,0.20218927,0.19757262,0.19165553,0.19323523,0.1892263,0.18682607,0.18631986,0.180341,0.17958476,0.17647685,0.17094615,0.1731421,0.16904725,0.16677387,0.16646846,0.15968582,0.15955378,0.15901577,0.1566789,0.1525826,0.14972553,0.15069811,0.14674965,0.14240137,0.14200251,0.14267346,0.13975462,0.13572028,0.13643153,0.1370218,0.13392612,0.13109666
accuracies_train,0.07025285,0.23277578,0.4256738,0.38930815,0.51145315,0.51426506,0.6309419,0.6126591,0.6723312,0.6481022,0.7065074,0.7097638,0.75675464,0.747152,0.77874964,0.79009724,0.8155488,0.8074354,0.82963043,0.81749374,0.83573216,0.8309864,0.8329536,0.8114143,0.8228952,0.8050903,0.82232845,0.8233287,0.8342873,0.8597166,0.86306196,0.8805557,0.87580997,0.8919033,0.8838788,0.8985274,0.89782715,0.9085857,0.908519,0.91394275,0.9205224,0.92126703,0.92655736,0.92721313,0.931192,0.9351709,0.9385385,0.9391942,0.94319534,0.94319534,0.9472409,0.94588494,0.9492303,0.94925255,0.94993055,0.95189774,0.950564,0.95257574,0.9532092,0.9539094,0.95388716,0.9552431,0.9565768,0.95725477,0.9565546,0.95856625,0.958544,0.95924425,0.95989996,0.9612559,0.9619116,0.96324533,0.96326756,0.9652348,0.9646013,0.96654624,0.96591276,0.9685802,0.9692359,0.97192556,0.9719478,0.97328144,0.9739372,0.97461516,0.97461516,0.9766268,0.97732705,0.9786385,0.9793165,0.97798276,0.97997224,0.97995,0.97997224,0.98196167,0.9813059,0.98196167,0.9826396,0.9826396,0.9832954,0.9839511
accuracies_test,0.2087,0.4121,0.381,0.5162,0.5066,0.6325,0.5983,0.6831,0.6294,0.7154,0.7026,0.7614,0.7498,0.7836,0.7885,0.8115,0.8019,0.8225,0.8158,0.8318,0.8188,0.8275,0.8003,0.8081,0.7969,0.8049,0.8103,0.8124,0.8329,0.8391,0.8568,0.8494,0.8657,0.859,0.8763,0.8681,0.8827,0.8749,0.8868,0.8812,0.8902,0.8835,0.8923,0.8874,0.8924,0.8906,0.8933,0.8917,0.8935,0.8919,0.8934,0.8923,0.8929,0.8932,0.894,0.8941,0.8943,0.8948,0.894,0.895,0.8942,0.8955,0.8952,0.8959,0.8954,0.8966,0.8953,0.8968,0.8964,0.8963,0.8975,0.8969,0.896,0.8966,0.8971,0.8975,0.8975,0.8972,0.8977,0.8973,0.8975,0.8974,0.8973,0.8975,0.8981,0.8976,0.8976,0.8974,0.8986,0.8979,0.8983,0.8982,0.8986,0.8985,0.8986,0.8982,0.8983,0.8984,0.8983,0.8983
